===============================================
TOKEN		CLASSIFICAÇÃO		LINHA
===============================================
program		Palavra reservada	1
exemplo		Identificador		1
;		Delimitador		1
var		Palavra reservada	2
a		Identificador		2
,		Delimitador		2
b		Identificador		2
:		Delimitador		2
real		Palavra reservada	2
;		Delimitador		2
procedure		Palavra reservada	4
p		Identificador		4
(		Delimitador		4
x		Identificador		4
:		Delimitador		4
integer		Palavra reservada	4
)		Delimitador		4
;		Delimitador		4
var		Palavra reservada	5
b		Identificador		5
,		Delimitador		5
c		Identificador		5
,		Delimitador		5
z		Identificador		5
:		Delimitador		5
boolean		Palavra reservada	5
;		Delimitador		5
begin		Palavra reservada	6
a		Identificador		7
:=		Atribuição		7
a		Identificador		7
+		Operador aditivo	7
15.2		Número real		7
;		Delimitador		7
a		Identificador		8
:=		Atribuição		8
a		Identificador		8
+		Operador aditivo	8
x		Identificador		8
+		Operador aditivo	8
8.0		Número real		8
-		Operador aditivo	8
a		Identificador		8
*		Operador multiplicativo	8
12		Número inteiro		8
end		Palavra reservada	9
;		Delimitador		9
procedure		Palavra reservada	11
q		Identificador		11
;		Delimitador		11
var		Palavra reservada	12
c		Identificador		12
,		Delimitador		12
d		Identificador		12
,		Delimitador		12
r		Identificador		12
:		Delimitador		12
integer		Palavra reservada	12
;		Delimitador		12
procedure		Palavra reservada	14
r		Identificador		14
(		Delimitador		14
y		Identificador		14
:		Delimitador		14
real		Palavra reservada	14
)		Delimitador		14
;		Delimitador		14
var		Palavra reservada	15
e		Identificador		15
,		Delimitador		15
f		Identificador		15
:		Delimitador		15
integer		Palavra reservada	15
;		Delimitador		15
begin		Palavra reservada	16
a		Identificador		17
:=		Atribuição		17
y		Identificador		17
end		Palavra reservada	18
;		Delimitador		18
begin		Palavra reservada	20
z		Identificador		21
:=		Atribuição		21
4		Número inteiro		21
end		Palavra reservada	22
;		Delimitador		22
begin		Palavra reservada	24
a		Identificador		25
:=		Atribuição		25
b		Identificador		25
end		Palavra reservada	26
.		Delimitador		26

